,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3157083,138844437,83260762079,450058173,0,153004348665,61201739
1,3157168,137115755,82734621704,447214171,129641,152038385944,60815354
2,3157256,137234271,82953421043,448396870,62368,152439455733,60975782
3,3157377,137068510,82690802001,449406532,32878,151957863597,60807468
4,3157462,137378235,82822924765,447691485,0,152200873113,60880349
5,3157547,145919842,89730523319,485029855,30616,164895077377,65958030
6,3157640,142816392,86830543593,469354289,0,159565316530,63800606
7,3157725,139826954,84763107620,458178960,991475,155762305527,62304922
8,3157812,138010292,83039796605,448863765,19742,152597830986,61039132
9,3157949,137940583,82970403682,448488668,14124,152471472876,60988589
