,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3158048,91830423,50115188002,270892908,19083,92092760936,36837104
1,3158135,90528731,49866026025,269546086,22870,91635530626,36654212
2,3158220,92595070,50730121548,202112038,99328,93223926340,27418801
3,3158305,96794331,53964384716,291699376,0,99167309834,39666923
4,3158391,90559871,49721014301,268762239,0,91369436996,36547774
5,3158478,92730261,50764168491,275892220,922740,93286253174,37329433
6,3158566,90607589,49626202580,268249743,70489,91195148702,36478059
7,3158652,91256582,49823702183,269317309,62318,91557901320,36623160
8,3158771,91201068,49687518303,268581180,10980,91307222219,36522888
9,3158858,90526794,49741944750,268875377,79888,91407127439,36562850
