,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3168530,85123178,41622244714,226207851,0,76474710685,30602125
1,3168531,85123246,41956262365,228023165,0,77089484246,30848132
2,3168532,85123362,41561736568,225879003,0,76363713779,30557708
3,3168529,85123808,42315827361,229977322,0,77750703553,31112726
4,3168527,154793266,32017686317,173068574,0,58791379145,23516551
5,3168654,82296802,38512541183,209307289,0,70759875829,28315276
6,3168653,82298257,38885102950,211332081,0,71445559692,28589659
7,3168652,82298247,38544872909,209483004,0,70819298221,28339054
8,3168651,82300699,39271184860,213430352,0,72154947769,28873528
9,3168648,151645109,31676076218,171222033,0,58165824770,23266329
10,3168741,84853340,41676857327,226504659,0,76576046932,30642675
11,3168740,84853284,41352962918,224744363,0,75980382511,30404314
12,3168739,84856544,42088725343,228743072,0,77333427542,30945749
13,3168742,84858381,41300622404,224459904,0,75883332525,30365479
14,3168736,154848669,32462092175,175470768,0,59610400751,23844160
