,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3168844,80103201,37514362640,203882405,0,68925777950,27581343
1,3168843,80103091,37884639203,205894778,0,69606736771,27853836
2,3168842,80103059,37602314451,204360404,0,69087320326,27645986
3,3168841,80103973,38167079352,207429779,0,70125952026,28061605
4,3168839,147923141,30802490289,166499947,0,56566464412,22626585
5,3168932,79902279,37355295580,201920516,0,68633245377,27453298
6,3168930,79902094,37433906392,202345439,0,68777587010,27511034
7,3168931,79902167,37727534975,203932621,0,69318087006,27727234
8,3168929,79902061,37978907750,205291393,0,69779664586,27911865
9,3168926,147627564,30642020099,165632541,0,56268990702,22507596
10,3169017,79308963,37460596606,203590198,0,68827441297,27541993
11,3169018,79309105,36923578031,200671619,0,67840550783,27147079
12,3169019,79309187,37204816433,202200089,0,68357044140,27353759
13,3169020,79313044,36858792264,200319523,0,67721133696,27099293
14,3169015,147921319,31378887039,169615605,0,57622273331,23048909
