,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3160685,45291682,30806217673,167425096,0,56610808471,22653384
1,3160767,53746895,37808179141,204368535,0,69478953640,27791581
2,3160849,45461572,30948056935,167286794,0,56871345743,22748538
3,3160931,45354532,30865649871,166841350,0,56720183948,22688073
4,3161013,45283145,30804237531,166509392,0,56607002949,22642801
5,3161095,45968339,31317951598,169286224,0,57550287859,23020115
6,3161179,45334581,30852374255,166769590,0,56695770106,22678308
7,3161264,45326459,30838863757,166696560,0,56670793466,22668317
8,3161346,45300041,30823358092,166612746,0,56642611788,22657044
9,3161428,53823658,37881161754,150920963,0,69612430986,20474244
