,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3153863,939888024,625821690684,3382819949,8951,1150040577051,460016230
1,3153966,1010236860,659898185096,3586403179,0,1212645911369,485252465
2,3154096,878212346,597119196009,3227671329,0,1097306662484,438922664
3,3154193,968840546,684369101560,3699292440,0,1257653693901,503061477
4,3154334,1014835211,691070306982,3735515172,26981,1269955783662,507982313
5,3154441,890421519,608954501605,3291645954,0,1119054547138,447621818
6,3154622,949703438,668854948109,3615432151,0,1229145847457,491658338
7,3154715,946063709,663060007376,3584108147,0,1218492016073,487396806
8,3154848,1013691087,698482354669,3775580295,2985,1283580269495,513432107
9,3154946,906021608,623987985002,3372908027,0,1146682685589,458673074
