,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3155089,698726881,454325585578,2455813976,0,834894760718,333957904
1,3155182,723373128,475390060979,1893984306,218266,873608099158,256943558
2,3155308,817888188,508350307946,2747839502,45821,934156071070,373662428
3,3155408,799119164,540968636016,2924154789,25259,994122875697,397649150
4,3155535,790222227,495539012273,2678589255,59821,910610210281,364244084
5,3155631,814926848,565696418298,3057818477,0,1039576682144,415830672
6,3155722,787989051,522605290102,2824893460,116183,960374539769,384149815
7,3155855,748714366,504306882462,2725983148,0,926750137734,370700055
8,3155947,714658917,472704132614,1883283396,0,868672087261,255491790
9,3156076,739919195,495276179928,2691718369,0,910152990627,364206879
