,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,36029,777030961,687198956476,2643072909,90934,700350811162,280140324
1,36125,698904589,619289304819,2363699636,0,619228013495,247691205
2,36258,733838711,634102798813,2467326065,12557,658660190797,263464076
3,36353,754934446,704980347167,2690764683,0,704919128157,281967651
4,36481,731476239,668755319804,2552501220,80628,668692748984,267477099
5,36581,729051589,660583394299,2540705362,0,673226814371,269290725
6,36673,755739028,708944685763,2705895747,0,708889978421,283555991
7,36952,759723847,697188436834,2661024568,22063,697129110287,278851644
8,37045,767052404,693336962838,2697809193,94986,720198655593,288079462
9,37178,730277218,667391033274,2547294020,0,667328975796,267038405
10,37276,768184481,690816157794,1956986282,66379,704038242355,207070071
11,37405,754220477,696213393752,2688082601,0,709539729192,283929463
12,37553,783023801,689742561711,2683823197,7860,716466605883,286586642
13,37650,693559598,601125599789,2294372518,0,601058162361,240519472
14,37777,701895093,611114279358,2350439535,0,622802861226,249121144
15,37872,764618251,707762912393,2722165047,4639,721316579327,288526631
16,37997,704803666,619298099695,2381915768,0,631146988194,252458795
17,38099,769729429,717348970465,2759034501,0,731082975483,292433190
18,38193,709290757,641165987646,2447198426,0,641108499492,256546018
19,38321,741309879,686654648662,2620819269,0,686592025038,274636810
20,38414,749557962,676224962084,2610907189,35907,689165770558,275776618
21,38546,798405498,751386495866,2923682863,0,780510122696,312328980
22,38643,728222272,654562527145,2527268444,0,667087817194,266941903
23,38772,773253081,725860636635,2770460445,100049,725806043342,290322417
24,38867,759032743,700643932009,2694784353,62915,714059545395,285623818
25,38964,738877449,665782108464,2590591861,0,691575111392,276740740
26,39094,777668385,711758294995,2769487529,32357,739337042023,295734816
27,39188,755646365,703170378276,2714943545,0,716634446059,286768485
28,39320,794448254,719440683209,2777763255,69269,733215535342,293403575
29,39415,771390662,713358659237,2754280537,85115,727017857225,290923512
