,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,25017,674556260,532173248176,2365214436,0,709517803469,283807121
1,25110,645049872,492026793620,2186785749,0,655985898949,262394359
2,25239,688918840,540318499855,2401415554,0,720373126787,288149250
3,25337,721037647,563321716588,2481593465,19296,736601876947,294640750
4,25433,640578794,492547477868,2169812677,0,644049505791,257619802
5,25564,660719256,521786837690,2298620430,0,682289506966,273025012
6,25659,669169358,526651827644,2320052104,37140,688650523143,275570437
7,25752,702229798,551334987282,2428788490,72125,720927488412,288370995
8,25881,697193917,552249992560,2432819350,42019,722124621289,288849848
9,25976,725473005,554156586895,2441218444,68190,724611355883,289960526
10,26104,695839897,554203502727,2496412174,0,753422571912,301369028
11,26201,729857513,569493970202,2565288154,70513,774206352043,309682540
12,26307,680340056,541164341878,2405174852,0,721505231337,288602092
13,26440,640498696,484979671692,2155465207,0,646588983757,258635593
14,26533,651552156,492470939935,2218337567,0,669489166004,267902827
15,26662,653871415,495808677715,2233372422,0,674025425240,269610170
16,26755,639864610,491006440134,2163023965,0,642028457667,256914148
17,26850,649949402,490549945739,2209684440,0,666870313345,266748125
18,26976,654105608,510463900241,2248739648,0,667476939240,266990775
19,27073,655723490,499981089721,2252167070,0,679699629179,271879851
20,27172,721544069,597760648050,2633306819,0,781643725552,312657490
21,27299,700429352,533139071944,2348630272,33944,697126879313,278962336
22,27392,641323902,485467928305,2167267537,0,647240735884,258999894
23,27519,650921229,494551195122,2227708086,0,672316741473,268926696
24,27619,645045044,491806760620,2185807824,0,655689565519,262275826
25,27712,665822529,520156622108,1699858242,0,693491575223,203968110
26,27840,690930786,557333368456,1821350877,0,743067033408,218549127
27,27934,700051612,569327867602,2508052280,11319,744461714047,298261904
28,28032,751286558,632248249694,2785234580,0,826740518966,330696207
29,28172,679383046,547301582690,2411020188,0,715656031436,286376963
