,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3140623,53360967,31635969696,171934617,0,58134166388,23262971
1,3140709,52038327,32742515315,176986569,0,60167897160,24067158
2,3140795,51688920,32812818595,177366587,0,60297951934,24119180
3,3140881,52194885,32267280037,175365652,0,59294951174,23727471
4,3140970,52111726,33082936340,179798567,0,60794378549,24327482
5,3141058,52463613,31834835613,172080192,0,58500094802,23400037
6,3141144,51927542,32783897283,178173354,0,60243807630,24107165
7,3141231,52217385,32769867707,178097107,0,60219287661,24097354
8,3141317,51906950,32640975988,176437708,0,59981745773,23992698
9,3141403,51911933,33025205318,131574523,0,60687613322,17849298
