,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3141500,43024690,22918777063,123885281,0,42113948726,16845579
1,3141588,41831135,25501125501,137843921,0,46859877404,18743950
2,3141674,42217654,24496560169,133133479,0,45013714221,18012690
3,3141760,42459316,24169245081,131354592,0,44412388657,17772064
4,3141846,42253179,24501852013,132442443,0,45022717214,18009086
5,3141935,42243182,24599182156,133691207,0,45202171510,18109844
6,3142021,41306559,26862112598,145200608,0,49361115631,19744446
7,3142107,41428283,26500921150,143248222,0,48697218700,19478887
8,3142195,41603310,26594224196,143752563,0,48868444625,19547377
9,3142281,42396581,24222664426,130933321,0,44509750667,17803900
